Pathway,Pathway_Hits,Disease_Hits,Disease_Pathway_Hits,Literature_Odds_Ratio,P_Value,FDR
TNF SIGNALING PATHWAY,1310,5269,1,5.893399936077143,0.15619129063655074,1.0
CYTOKINE-CYTOKINE RECEPTOR INTERACTION,1848,5269,1,4.176696475517565,0.2130399515550524,1.0
NICOTINE ADDICTION,2554,5269,1,3.0216311686550372,0.2818721679012142,1.0
AMOEBIASIS,2564,5269,1,3.009840997004566,0.28280259684638914,1.0
FERROPTOSIS,27870,5269,6,1.6616588872343172,0.15756943255631456,1.0
MAPK SIGNALING PATHWAY,9283,5269,1,0.8309574486882539,0.699880235520361,1.0
RHEUMATOID ARTHRITIS,141672,5269,1,0.05426527834949194,0.9999999897732658,1.0
IL-17 SIGNALING PATHWAY,1162,5269,0,0.0,1.0,1.0
CYTOSKELETON IN MUSCLE CELLS,1,5269,0,0.0,1.0,1.0
LEGIONELLOSIS,2167,5269,0,0.0,1.0,1.0
EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION,985,5269,0,0.0,1.0,1.0
PPAR SIGNALING PATHWAY,1242,5269,0,0.0,1.0,1.0
NOD-LIKE RECEPTOR SIGNALING PATHWAY,559,5269,0,0.0,1.0,1.0
KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION,50,5269,0,0.0,1.0,1.0
LIPID AND ATHEROSCLEROSIS,638,5269,0,0.0,1.0,1.0
VIRAL PROTEIN INTERACTION WITH CYTOKINE AND CYTOKINE RECEPTOR,2618,5269,0,0.0,1.0,1.0
AMPHETAMINE ADDICTION,104,5269,0,0.0,1.0,1.0
OSTEOCLAST DIFFERENTIATION,6755,5269,0,0.0,1.0,1.0
PERTUSSIS,33990,5269,0,0.0,1.0,1.0
GABAERGIC SYNAPSE,420,5269,0,0.0,1.0,1.0
OXYTOCIN SIGNALING PATHWAY,91,5269,0,0.0,1.0,1.0
BILE SECRETION,1778,5269,0,0.0,1.0,1.0
NON-ALCOHOLIC FATTY LIVER DISEASE,40522,5269,0,0.0,1.0,1.0
ALDOSTERONE SYNTHESIS AND SECRETION,30600,5269,0,0.0,1.0,1.0
AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS,1,5269,0,0.0,1.0,1.0
CHAGAS DISEASE,19933,5269,0,0.0,1.0,1.0
NF-KAPPA B SIGNALING PATHWAY,436,5269,0,0.0,1.0,1.0
TYPE II DIABETES MELLITUS,4005,5269,0,0.0,1.0,1.0
TOLL-LIKE RECEPTOR SIGNALING PATHWAY,882,5269,0,0.0,1.0,1.0
TGF-BETA SIGNALING PATHWAY,2868,5269,0,0.0,1.0,1.0
